title,median_salary,posting_count
Community Resource Center Specialist Ii,58157.0,3
Compliance Analyst,109200.0,13
Compliance Officer,122300.0,6
Compliance Specialist,71750.0,8
Computer Aided Design Drafter,67600.0,3
Construction Accountant,78750.0,4
Construction Estimator,105000.0,7
Construction Manager,130500.0,19
Construction Project Coordinator,50000.0,3
Construction Project Coordinator Ni Academy,56850.0,5
Construction Project Manager,117500.0,34
Construction Superintendent,120000.0,29
Construction Supervisor,124800.0,3
Contact Center Agent I,41291.0,3
Content Creator,62450.0,4
Content Designer,104000.0,3
Content Manager,137000.0,6
Content Marketing Manager,119975.0,4
Content Producer,80000.0,3
Content Specialist,62400.0,3
Content Writer,64950.0,4
Continuous Improvement Engineer,95000.0,3
Continuous Improvement Manager,123814.0,4
Continuous Improvement Specialist,100000.0,4
Contract Administrator,76500.0,12
Contract Manager,111529.6,6
Contracts Administrator,95000.0,3
Contracts Specialist,74880.0,3
Control Engineer,104000.0,7
Control Panel Technician,46800.0,3
Controller,135000.0,98
Controls Engineer,90760.0,16
Cook,35880.0,19
Cook I,41870.40000000001,4
Cook Ii,46800.0,3
Copywriter,81500.0,8
Corporate Accountant,86250.0,4
Corporate Controller,188750.0,4
Corporate Counsel,165000.0,4
Corporate Paralegal,74940.0,8
Corporate Project Revenue Manager,178539.46,4
Corporate Recruiter,69000.0,3
Cost Accountant,90000.0,12
"Counsel, Ads Legal",199000.0,3
Counter Sales Representative,43680.0,6
Creative Director,177500.0,6
Credentialing Specialist,46233.5,3
Credit Analyst,80000.0,5
Credit Approval Officer,166530.0,3
Critical Infrastructure Technician,81000.0,4
Crm Manager,104000.0,3
Ct Technologist,86273.2,10
Ct Technologist - Radiology,34764.0,3
Custodial Supervisor,53500.0,3
Custodian,32500.0,12
Customer Advocate,34320.0,7
Customer Care Representative,55120.0,3
Customer Contact Representative,51806.5,5
Customer Experience Manager,47500.0,3
Customer Experience Specialist,47840.0,5
Customer Growth Representative,51989.59999999999,3
Customer Service Associate,30160.0,3
Customer Service Lead,33415.2,6
Customer Service Manager,74000.0,10
Customer Service Rep,33280.0,11
Customer Service Representative,40300.0,98
Customer Service Representative Fueler/Washer,50440.0,5
Customer Service Representative/Store Associate,45760.0,6
Customer Service Specialist,52500.0,7
"Customer Service Supervisor, Transplant Diagnostics",88400.0,4
Customer Success Associate,51250.0,4
Customer Success Manager,91500.0,11
Customer Support Engineer,48000.0,3
Customer Support Specialist,53580.799999999996,5
Customs Trade Agent - 1St Shift,32240.0,4
Cyber Security Analyst,99200.0,4
Cyber Security Engineer,145000.0,10
Cyber Security Specialist,105000.0,5
Cybersecurity Engineer,106750.0,4
Damage Field Investigator,50000.0,6
Data Analyst,89440.0,42
Data Architect,155000.0,9
Data Center Technician,84396.0,6
Data Engineer,130000.0,21
Data Engineer - Remote,155000.0,4
Data Engineer Ii,135200.0,4
Data Entry Clerk,35360.0,8
Data Entry Specialist,41600.0,11
Data Entry Specialist - Ap And Ar,35360.0,3
Data Scientist,131000.0,20
Data Scientist Lead – Telematics (Remote),222545.0,3
Data Team Lead,124800.0,3
Database Administrator,115500.0,10
Database Developer,115000.0,4
Datacenter Technician,53372.8,7
Deli Clerk Part Time,32760.0,7
Deli Production Team Member,30003.999999999996,15
Delivery Driver,39520.0,13
Delivery Driver (Non Cdl),43680.0,3
Delivery Specialist,34320.0,14
Delivery Truck Driver - Cdl,55920.799999999996,4
Dental Assistant,42640.0,32
Dental Hygienist,116480.0,15
Dental Hygienist - Choose Your Own Schedule,135200.0,5
Dentist,260000.0,4
Department Manager,44137.6,7
Dermatologist,345543.0,3
Dermatology Nurse Practitioner \ Physician Assistant,257500.0,3
Design Consultant,102500.0,4
Design Engineer,100250.0,12
Design Sales Representative,94000.0,4
Designer,44096.00000000001,9
Desktop Engineer,85000.0,4
Desktop Support Analyst,47500.0,3
Desktop Support Engineer,87880.0,4
Desktop Support Specialist,69680.0,11
Desktop Support Technician,46000.0,9
Desktop Test Engineer,71718.4,4
Developer,126880.0,3
Development Manager,62500.0,6
Deviation Investigator,197600.0,5
Devops Consultant,100000.0,3
Devops Engineer,133120.0,13
Diesel Mechanic,55380.0,12
Diesel Mechanic Technician Class A,49920.0,3
Diesel Technician,65000.0,5
Diesel Technician/Mechanic Iii - Entry Level,55234.399999999994,4
Dietary Aide,32968.0,3
"Digital Content Lead, Relay Product Insights",48450.0,3
Digital Marketing Intern,33280.0,5
Digital Marketing Manager,72500.0,9
Digital Marketing Specialist,77500.0,9
Digital Project Manager,72800.0,5
Direct Support Assistant (Ny Helps),52851.5,6
Direct Support Professional,35484.8,8
Director,72000.0,3
Director Of Accounting,158766.5,9
Director Of Business Development,128750.0,14
Director Of Business Operations,150000.0,3
Director Of Development,121250.0,6
Director Of Engineering,165000.0,4
Director Of Finance,150000.0,6
Director Of Finance And Accounting,200000.0,3
Director Of Financial Planning And Analysis,165000.0,3
Director Of Human Resources,122500.0,8
Director Of Information Technology,180000.0,7
Director Of Maintenance,136000.0,5
Director Of Marketing,123675.0,4
Director Of Nursing,127500.0,5
Director Of Operations,100000.0,13
Director Of Procurement,187500.0,3
Director Of Product Management,155000.0,3
Director Of Sales,123750.0,6
Director Of Sales And Marketing,170000.0,3
"Director, Cmc Regulatory Affairs",221520.0,3
"Director, Community Marketing",195000.0,3
"Director, Managing Director- 401K Relationship Manager",147000.0,4
"Director, Software Engineering",240000.0,3
Distribution Engineer,95000.0,3
District Manager,100000.0,4
District Sales Manager,107500.0,10
Document Reviewer,58240.0,4
Documentation Specialist,72800.0,3
Dotnet Developer,122500.0,9
Driver,38480.0,5
Ecommerce Manager,82500.0,4
Economist / Quantitative Risk Analyst Senior,158855.0,3
Education Specialist,79057.1675,4
Ehs Specialist,65650.0,5
Ehs Specialist (Entry Level - 0-5 Years Experience),70000.0,3
Electrical Assembler,47320.0,6
Electrical Design Engineer,103770.0,6
Electrical Designer,85000.0,8
Electrical Engineer,103500.0,45
Electrical Engineering Manager,115000.0,5
Electrical Estimator,115000.0,6
Electrical Project Manager,130000.0,3
Electrical Technician,72800.0,4
Electrician,63440.0,11
Electronic Repair Technician,49920.0,3
Embedded Engineer,90000.0,3
Embedded Software Engineer,140400.0,7
Emergency Room Nurse,99840.0,3
Emergency Veterinarian,190000.0,3
Employee Relations Specialist,87500.0,3
Employee Service Representative,39520.0,3
Engagement Manager,120250.0,4
Engineer,105432.75,6
Engineer Iv - Voice Services,130366.5,3
Engineering Manager,182683.0,8
Engineering Project Manager,110824.5,4
Enterprise Account Executive,125000.0,4
Enterprise Account Manager,139175.0,4
Enterprise Consulting Sales,125000.0,4
"Enterprise Field Sales Representative, Google Cloud",137000.0,3
Entry Level Account Executive,50000.0,3
Entry Level Digital Media Planner,40019.2,3
Entry Level Management,115000.0,3
"Environment, Health And Safety Manager",108680.0,5
Environmental Engineer,84150.0,3
Environmental Health Safety Specialist,92028.0,8
Environmental Project Manager,85000.0,5
Environmental Specialist,62400.0,3
Epic Beaker Analyst,77500.0,3
Epm Financial Analyst I,93887.5,3
Equipment Engineer,105000.0,5
Equipment Operator,66560.0,3
Equipment Sales Specialist,100000.0,3
Estimator,95500.0,14
Estimator - Commercial Construction,92500.0,3
Event Coordinator,50960.0,9
Event Manager,80250.0,6
Event Marketing Specialist,67412.79999999999,3
Event Planner,51250.0,3
Event Project Manager,82500.0,3
Executive Administrative Assistant,65000.0,20
Executive Assistant,80000.0,97
Executive Assistant / Office Manager,100000.0,3
Executive Assistant Office Manager,85000.0,5
Executive Assistant To Chief Executive Officer,80500.0,4
Executive Chef,105000.0,7
Executive Chef - 1927639,82500.0,3
Executive Director,93750.0,10
"Executive Mixed Reality Producer, Entertainment Experiences",221000.0,4
Executive Personal Assistant,60000.0,3
Executive Sous Chef,82500.0,6
Experienced Life And Annuity Actuary - Remote,201215.0,4
Fabrication Technician 2,44400.0,3
Fabricator - 1908504,80537.59999999999,4
Facilities Coordinator,59500.0,6
Facilities Manager,88147.5425,12
Facilities Supervisor,62909.59999999999,3
Family Law Attorney,155000.0,10
Family Law Paralegal,58000.0,4
Family Medicine Physician - Sign-On Bonus Available,260000.0,3
Family Nurse Practitioner,141550.0,4
Family Physician,220000.0,8
"Family Practice-Without Ob Physician - $/Yearly - $315,000/Yearly",315000.0,3
Federal Tax Associate (Fall 2025/Winter 2026),72000.0,3
Field Data Collector - Mcbs,41080.0,3
Field Installation Technician,82500.0,3
Field Marketing Manager,105000.0,4
Field Sales And Marketing Representative,52000.0,3
Field Sales Representative,75000.0,6
Field Service Manager,105000.0,3
Field Service Representative,40560.0,3
Field Service Specialist,49483.2,3
Field Service Technician,58078.8,20
Field Services Engineer,75000.0,3
Field Supervision Director - Annuity,93587.5,4
Field Technician,41600.0,15
Finance Administrator,51656.8,3
Finance Director,104000.0,3
Finance Manager,115000.0,23
Financial Advisor,80012.5,20
Financial Aid Specialist,32572.8,3
Financial Analyst,82500.0,53
Financial Analyst Ii,80000.0,3
Financial Controller,145000.0,23
Financial Director,150800.0,3
Financial Planning Analyst,120640.0,5
